"trial","ref_position","var_area","response","correct","rt"
1,"L",11.2146248144563,"R",TRUE,2.66799998283386
2,"L",12.950163921807,"R",TRUE,1.19300007820129
3,"L",10.3508216841146,"L",FALSE,1.77600002288818
4,"L",14.9006521697156,"R",TRUE,0.970999956130981
5,"L",9.5778290538583,"R",TRUE,0.990999937057495
6,"L",10.4230971024372,"R",TRUE,0.796000003814697
7,"L",8.59090491966344,"R",FALSE,0.784000158309937
8,"R",8.37211728398688,"R",TRUE,1.37999987602234
9,"L",10.2149479782674,"L",FALSE,1.48200011253357
10,"L",13.1989154641051,"L",FALSE,2.08799982070923
11,"L",10.4154954585247,"L",FALSE,2.99500012397766
12,"R",13.349698636448,"R",FALSE,8.5860002040863
13,"R",10.6034423636738,"L",TRUE,1.18199992179871
14,"R",13.1418796100188,"L",TRUE,0.697000026702881
15,"L",13.4045058707707,"L",FALSE,0.684999942779541
16,"L",9.59549845964648,"L",FALSE,0.592000007629395
17,"L",13.7262963098474,"L",FALSE,0.598999977111816
18,"L",8.84918945236132,"L",TRUE,1.00500011444092
19,"R",14.3941897405311,"L",TRUE,0.802000045776367
20,"L",13.1213781293482,"R",TRUE,2.09000015258789
