"trial","ref_position","var_area","response","correct","rt"
1,"R",14.5020498051308,"R",FALSE,2.05099987983704
2,"R",8.36323664966039,"R",TRUE,0.494999885559082
3,"R",14.4148573693819,"R",FALSE,0.486000061035156
4,"L",10.6292959824204,"R",TRUE,0.28600001335144
5,"L",9.1534532411024,"R",TRUE,0.379999876022339
6,"R",9.58858585241251,"R",FALSE,0.282000064849854
7,"L",9.18861205270514,"R",TRUE,0.375
8,"L",9.9934235336259,"R",TRUE,0.289000034332275
9,"R",11.1804522883613,"R",FALSE,0.28600001335144
10,"L",10.9113247415517,"R",TRUE,0.276999950408936
11,"L",13.4205375770107,"R",TRUE,0.276999950408936
12,"R",14.7267103111371,"R",FALSE,0.315999984741211
13,"L",12.2897236410063,"R",TRUE,0.272000074386597
14,"L",10.155225829687,"R",TRUE,0.282999992370605
15,"R",11.4915750438813,"R",FALSE,0.266000032424927
16,"L",9.81593816983514,"R",TRUE,0.315999984741211
17,"L",11.9102052487433,"R",TRUE,0.299000024795532
18,"L",8.57576140691526,"R",FALSE,4.01800012588501
19,"R",12.1958036422729,"R",FALSE,4.64299988746643
